runTm,nation,genre,director,actor,is_adult,distributor,view,openMonth
136,2,1,알폰소 쿠아론,다니엘 래드클리프,0,워너브러더스 코리아(주),1865469,7
119,3,2,기타노 다케시,기타노 다케시,0,(주)영화사 진진,24634,1
116,1,3,최동훈,김윤석,1,(주)쇼박스,943241,4
125,2,1,팀 버튼,이완 맥그리거,0,팝엔터테인먼트,85594,3
105,1,5,정연원,권용운,0,롯데엔터테인먼트,193554,6
148,1,1,강제규,장동건,0,(주)다자인소프트,2553148,2
135,3,1,이와이 슌지,아오이 유우,0,(주)미디어캐슬,93403,11
128,3,1,왕가위,양조위,1,(주)디스테이션,128529,10
123,2,7,닉 카사베츠,레이첼 맥아담스,0,(주)퍼스트런,651412,11
116,3,1,이누도 잇신,츠마부키 사토시,0,(주)디스테이션,76019,10
108,1,2,김두영,이동준,0,(주)엔터모드,3562,5
112,3,8,미이케 다카시,시바사키 코우,0,(주)쇼박스,235702,7
109,3,1,팻티 젠킨스,샤를리즈 테론,1,무비즈엔터테인먼트(주),58840,6
116,1,1,임찬상,문소리,0,(주)쇼박스,748380,5
85,1,5,이한열,박준형,0,콜럼비아트라이스타(주),3074,2
102,3,1,장 피에르 다르덴,올리비에 구르메,1,(주)동숭아트센터,1088,2
132,1,1,박정우,이성재,0,(주)시네마서비스,97925,4
132,3,1,테오 앙겔로풀로스,브루노 간츠,0,(주)영화사 백두대간,8254,11
115,1,2,유하,권상우,0,CJ ENM,604972,1
119,3,7,장예모,금성무,0,쇼이스트(주),1027354,9
118,3,1,손케 보르트만,루이스 클람로스,0,무비즈엔터테인먼트(주),2786,9
110,1,1,허인무,하지원,0,코리아픽쳐스(주),675521,8
114,1,5,김호준,김래원,0,코리아픽쳐스(주),991674,4
110,1,1,박흥식,전도연,0,CJ ENM,437250,6
137,1,1,송해성,설경구,0,CJ ENM,1018382,12
116,1,1,김수현,김석훈,1,(주)튜브엔터테인먼트,51276,11
110,3,1,아그네스 자우이,마릴루 베리,0,(주)스폰지이엔티,19072,12
113,1,11,송일곤,감우성,1,영화사청어람(주),63278,9
107,1,1,장진,이나영,0,(주)시네마서비스,736452,6
148,1,10,김동원,조창손,0,(주)인디스토리,2624,3
