movieCd,movieNm,movieNmEn,showTm,prdtYear,openDt,prdtStatNm,typeNm,nationNm,genres_1,genres_2,directorNm,directorNmEn,actor1_Nm,actor1_NmEn,watchGradeNm,dist_companyCd,dist_companyNm,dist_companyNmEn,view
20040598,해리포터와 아즈카반의 죄수,Harry Potter And The Prisoner Of Azkaban,136.0,2004.0,20040716,개봉,장편,미국,드라마,,알폰소 쿠아론,Alfonso Cuaron,다니엘 래드클리프,Daniel Radcliffe,전체관람가,20100043.0,워너브러더스 코리아(주),Warner Bros. Korea,1865469
20040666,나쁜 교육,Bad Education,104.0,2004.0,20040917,개봉,장편,스페인,드라마,,페드로 알모도바르,Pedro Almodovar,,,18세관람가,20217646.0,해피송,Happy Song,21628
20030440,자토이치,Zatoichi,119.0,2003.0,20040130,개봉,장편,일본,액션,,기타노 다케시,Takeshi Kitano,기타노 다케시,Takeshi Kitano,15세관람가,20100631.0,(주)영화사 진진,JINJIN Pictures,24634
20040606,천년여우,Millennium Actress,87.0,2001.0,20040709,개봉,장편,일본,스릴러,애니메이션,곤 사토시,Kon Satoshi,,,12세관람가,20100250.0,무비즈엔터테인먼트㈜,Movies Entertainment,5472
20040487,범죄의 재구성,The Big Swindle,116.0,2004.0,20040415,개봉,장편,한국,스릴러,,최동훈,CHOI Dong-hoon,김윤석,KIM Yun-seok,18세관람가,20100103.0,(주)쇼박스,Showbox Corp,943241
20040462,빅 피쉬,Big Fish,125.0,2003.0,20040305,개봉,장편,미국,판타지,,팀 버튼,Tim Burton,이완 맥그리거,Ewan McGregor,12세이상관람가,20122837.0,(주)팝엔터테인먼트,Pop Entertainment,85594
20040559,나두야 간다,A Wacky Switch,105.0,2004.0,20040625,개봉,장편,한국,코미디,,정연원,JUNG Yeoun-won,권용운,KWON Yong-woon,15세관람가,20101530.0,롯데쇼핑㈜롯데시네마,"Lotte shopping Lotte cinema Co., Ltd.",193554
20030371,태극기 휘날리며,TaeGukGi: Brotherhood Of War,148.0,2004.0,20040205,개봉,장편,한국,전쟁,드라마,강제규,KANG Jekyu,장동건,JANG Dong-gun,15세관람가,20158228.0,(주)다자인소프트,,2553148
20040704,하나와 앨리스,Hana And Alice,135.0,2004.0,20041117,개봉,장편,일본,드라마,,이와이 슌지,Shunji Iwai,아오이 유우,Yu Aoi,12세관람가,20122956.0,(주)미디어캐슬,,93403
20040690,2046,2046,128.0,2004.0,20041015,개봉,장편,홍콩,드라마,,왕가위,Kar-wai Wong,양조위,Tony Leung Chiu Wai,청소년관람불가,20158370.0,(주)디스테이션,,128529
20040734,노트북,The Notebook,123.0,2004.0,20041126,개봉,장편,미국,멜로/로맨스,,닉 카사베츠,Nick Cassavetes,레이첼 맥아담스,Rachel McAdams ,15세이상관람가,20139095.0,(주)퍼스트런,First Run Inc.,651412
20040703,"조제, 호랑이 그리고 물고기들","Josee, The Tiger And The Fish",116.0,2003.0,20041029,개봉,장편,일본,드라마,,이누도 잇신,Inudou Isshin,츠마부키 사토시,Satoshi Tsumabuki,15세이상관람가,20158370.0,(주)디스테이션,,76019
20040558,클레멘타인,Clementine,108.0,2004.0,20040521,개봉,장편,한국,액션,,김두영,KIM Doo-young,이동준,LEE Dong-jun,15세관람가,20100300.0,(주)엔터모드,,3562
20040605,착신아리,One Missed Call,112.0,2003.0,20040709,개봉,장편,일본,공포(호러),,미이케 다카시,Takashi Miike,시바사키 코우,Kou Shibasaki,15세관람가,20100103.0,(주)쇼박스,Showbox Corp,235702
20040592,몬스터,Monster,109.0,2003.0,20040618,개봉,장편,독일,드라마,,팻티 젠킨스,Patty Jenkins,샤를리즈 테론,Charlize Theron,18세관람가,20100250.0,무비즈엔터테인먼트㈜,Movies Entertainment,58840
20040483,효자동 이발사,The President's Barber,116.0,2004.0,20040505,개봉,장편,한국,드라마,,임찬상,LIM Charn-sang,문소리,MOON So-ri,15세관람가,20100103.0,(주)쇼박스,Showbox Corp,748380
20040463,마법경찰 갈갈이와 옥동자,Magic Police Galgali And Okdongja,85.0,2004.0,20040213,개봉,장편,한국,코미디,,이한열,LEE Han-yul,박준형,PARK Joon-hyung,전체관람가,20101727.0,콜럼비아트라이스타㈜,,3074
20040678,아들,The Son,102.0,2002.0,20040220,개봉,장편,벨기에,드라마,,장 피에르 다르덴,Jean-Pierre Dardenne,올리비에 구르메,Olivier Gourmet,18세관람가,20100487.0,(주)동숭아트센터,,1088
20040514,바람의 전설,Dance With The Wind,132.0,2004.0,20040409,개봉,장편,한국,드라마,,박정우,PARK Jung-woo,이성재,LEE Sung-jae,15세관람가,20100303.0,(주)시네마서비스,"Cinema Service Co.,Ltd.",97925
20040719,영원과 하루,Eternity And A Day,132.0,1998.0,20041117,개봉,장편,이탈리아,드라마,,테오 앙겔로풀로스,Theo Angelopoulos,브루노 간츠,Bruno Ganz,전체관람가,20100132.0,㈜영화사 백두대간,BaekDu-DaeGan Flims Co. Ltd,8254
20030433,말죽거리 잔혹사,Spirit Of Jeet Keun Do - Once Upon A Time In High School,115.0,2003.0,20040116,개봉,장편,한국,액션,멜로/로맨스,유하,YOO Ha,권상우,KWON Sang-woo,15세관람가,20100109.0,CJ ENM,CJ ENM,604972
20040640,연인,House Of Flying Daggers,119.0,2004.0,20040910,개봉,장편,중국,멜로/로맨스,액션,장예모,Yimou Zhang,금성무,Takeshi Kaneshiro,12세관람가,20100269.0,쇼이스트(주),"ShowEast Co., Ltd.",1027354
20040665,베른의 기적,The Miracle Of Bern,118.0,2003.0,20040910,개봉,장편,독일,드라마,,손케 보르트만,Sonke Wortmann,루이스 클람로스,Louis Klamroth ,전체관람가,20100250.0,무비즈엔터테인먼트㈜,Movies Entertainment,2786
20040612,신부수업,"Love, So Divine",110.0,2004.0,20040805,개봉,장편,한국,드라마,멜로/로맨스,허인무,HUH In-moo,하지원,HA Ji-won,12세관람가,20100060.0,코리아픽쳐스(주),Korea Pictures,675521
20040481,어린 신부,My Little Bride,114.0,2004.0,20040402,개봉,장편,한국,코미디,,김호준,KIM Ho-jun,김래원,KIM Rae-won,12세관람가,20100060.0,코리아픽쳐스(주),Korea Pictures,991674
20040515,인어 공주,"My Mother, The Mermaid",110.0,2004.0,20040630,개봉,장편,한국,드라마,,박흥식,PARK Heung-sik,전도연,JEON Do-yeon,전체관람가,20100109.0,CJ ENM,CJ ENM,437250
20040682,역도산,Rikidozan: A Hero Extraordinary,137.0,2004.0,20041215,개봉,장편,한국,드라마,,송해성,SONG Hae-sung,설경구,SUL Kyung-gu,12세관람가,20100109.0,CJ ENM,CJ ENM,1018382
20040472,귀여워,So Cute,116.0,2004.0,20041126,개봉,장편,한국,드라마,코미디,김수현,KIM Soo-hyun,김석훈,KIM Suk-hoon,18세관람가,20060480.0,(주)튜브엔터테인먼트,"Tube Entertainment Co.,Ltd",51276
20040761,룩 앳 미,Look At Me,110.0,2004.0,20041223,개봉,장편,프랑스,드라마,,아그네스 자우이,Agnes Jaoui,마릴루 베리,Marilou Berry ,15세관람가,20100209.0,(주)스폰지이엔티,Sponge Ent. Inc.,19072
20040608,거미숲,Spider Forest,113.0,2004.0,20040903,개봉,장편,한국,미스터리,범죄,송일곤,SONG Il-gon,감우성,KARM Woo-sung,18세관람가,20100202.0,영화사청어람(주),Chungeorahm Film ,63278
20040583,아는 여자,Someone Special,107.0,2004.0,20040625,개봉,장편,한국,드라마,,장진,JANG Jin,이나영,LEE Na-young,15세관람가,20100303.0,(주)시네마서비스,"Cinema Service Co.,Ltd.",736452
20040520,송환,Repatriation,148.0,2003.0,20040319,개봉,장편,한국,다큐멘터리,,김동원,KIM Dong-won,조창손, ,12세관람가,20100036.0,㈜인디스토리,INDIESTORY Inc. ,2624
