movieCd,movieNm,showTm,nationNm,genres_1,directorNm,actor1_Nm,dist_companyNm,view,openMonth,is_adult
20040598,해리포터와 아즈카반의 죄수,136.0,2,1,알폰소 쿠아론,다니엘 래드클리프,워너브러더스 코리아(주),1865469,07,0.0
20030440,자토이치,119.0,3,2,기타노 다케시,기타노 다케시,(주)영화사 진진,24634,01,0.0
20040487,범죄의 재구성,116.0,1,3,최동훈,김윤석,(주)쇼박스,943241,04,1.0
20040462,빅 피쉬,125.0,2,1,팀 버튼,이완 맥그리거,(주)팝엔터테인먼트,85594,03,0.0
20040559,나두야 간다,105.0,1,5,정연원,권용운,롯데쇼핑㈜롯데시네마,193554,06,0.0
20030371,태극기 휘날리며,148.0,1,1,강제규,장동건,(주)다자인소프트,2553148,02,0.0
20040704,하나와 앨리스,135.0,3,1,이와이 슌지,아오이 유우,(주)미디어캐슬,93403,11,0.0
20040690,2046,128.0,3,1,왕가위,양조위,(주)디스테이션,128529,10,1.0
20040734,노트북,123.0,2,7,닉 카사베츠,레이첼 맥아담스,(주)퍼스트런,651412,11,0.0
20040703,"조제, 호랑이 그리고 물고기들",116.0,3,1,이누도 잇신,츠마부키 사토시,(주)디스테이션,76019,10,0.0
20040558,클레멘타인,108.0,1,2,김두영,이동준,(주)엔터모드,3562,05,0.0
20040605,착신아리,112.0,3,8,미이케 다카시,시바사키 코우,(주)쇼박스,235702,07,0.0
20040592,몬스터,109.0,3,1,팻티 젠킨스,샤를리즈 테론,무비즈엔터테인먼트㈜,58840,06,1.0
20040483,효자동 이발사,116.0,1,1,임찬상,문소리,(주)쇼박스,748380,05,0.0
20040463,마법경찰 갈갈이와 옥동자,85.0,1,5,이한열,박준형,콜럼비아트라이스타㈜,3074,02,0.0
20040678,아들,102.0,3,1,장 피에르 다르덴,올리비에 구르메,(주)동숭아트센터,1088,02,1.0
20040514,바람의 전설,132.0,1,1,박정우,이성재,(주)시네마서비스,97925,04,0.0
20040719,영원과 하루,132.0,3,1,테오 앙겔로풀로스,브루노 간츠,㈜영화사 백두대간,8254,11,0.0
20030433,말죽거리 잔혹사,115.0,1,2,유하,권상우,CJ ENM,604972,01,0.0
20040640,연인,119.0,3,7,장예모,금성무,쇼이스트(주),1027354,09,0.0
20040665,베른의 기적,118.0,3,1,손케 보르트만,루이스 클람로스,무비즈엔터테인먼트㈜,2786,09,0.0
20040612,신부수업,110.0,1,1,허인무,하지원,코리아픽쳐스(주),675521,08,0.0
20040481,어린 신부,114.0,1,5,김호준,김래원,코리아픽쳐스(주),991674,04,0.0
20040515,인어 공주,110.0,1,1,박흥식,전도연,CJ ENM,437250,06,0.0
20040682,역도산,137.0,1,1,송해성,설경구,CJ ENM,1018382,12,0.0
20040472,귀여워,116.0,1,1,김수현,김석훈,(주)튜브엔터테인먼트,51276,11,1.0
20040761,룩 앳 미,110.0,3,1,아그네스 자우이,마릴루 베리,(주)스폰지이엔티,19072,12,0.0
20040608,거미숲,113.0,1,11,송일곤,감우성,영화사청어람(주),63278,09,1.0
20040583,아는 여자,107.0,1,1,장진,이나영,(주)시네마서비스,736452,06,0.0
20040520,송환,148.0,1,10,김동원,조창손,㈜인디스토리,2624,03,0.0
20040695,이프 온리,96.0,2,5,길 정거,제니퍼 러브 휴잇,유니코리아문예투자(주),1021632,10,0.0
20040732,팜므 파탈,110.0,3,11,브라이언 드 팔마,안토니오 반데라스,(주)시네마서비스,29660,11,1.0
20040461,콜드 마운틴,154.0,2,1,안소니 밍겔라,니콜 키드먼,한국소니픽쳐스릴리징브에나비스타영화㈜,54085,02,0.0
20040745,인크레더블,115.0,2,12,브래드 버드,홀리 헌터,한국소니픽쳐스릴리징브에나비스타영화㈜,898773,12,0.0
20040484,하류인생,105.0,1,2,임권택,조승우,(주)시네마서비스,224856,05,0.0
20030430,라스트 사무라이,144.0,2,2,에드워드 즈윅,톰 크루즈,워너브러더스 코리아(주),298938,01,0.0
20040505,사마리아,95.0,1,1,김기덕,곽지민,쇼이스트(주),44900,03,1.0
20040698,쉘 위 댄스,106.0,2,1,피터 첼섬,제니퍼 로페즈,한국소니픽쳐스릴리징브에나비스타영화㈜,82936,11,0.0
20040654,진주 귀걸이를 한 소녀,99.0,3,1,피터 웨버,스칼렛 요한슨,(주)영화사 진진,60904,09,0.0
20040689,비포 선셋,80.0,2,1,리차드 링클레이터,줄리 델피,THE 픽쳐스,126612,10,0.0
20040686,이노센스,99.0,3,12,오시이 마모루,타나카 아츠코,(주)시네마서비스,26116,10,0.0
20040447,스쿨 오브 락,109.0,3,5,리차드 링클레이터,잭 블랙,윤스,36262,02,0.0
20040748,폴라 익스프레스,100.0,2,12,로버트 저메키스,톰 행크스,워너브러더스 코리아(주),365945,12,0.0
20040673,내 머리 속의 지우개,117.0,1,7,이재한,정우성,CJ ENM,1887868,11,0.0
20040526,첫키스만 50번째,99.0,2,5,피터 시걸,아담 샌들러,팝엔터테인먼트,220294,04,0.0
20040672,발레 교습소,119.0,1,1,변영주,윤계상,CJ ENM,87446,12,0.0
20040632,모두 하고 있습니까?,108.0,3,5,기타노 다케시,히다리 토키에,(주)영화사 진진,2674,08,1.0
20040633,그 여름 가장 조용한 바다,101.0,3,1,기타노 다케시,카와하라 사부,(주)영화사 진진,5513,08,0.0
20040721,오페라의 유령,141.0,2,1,조엘 슈마허,제라드 버틀러,(주)팝엔터테인먼트,1578678,12,0.0
20040656,세상의 중심에서 사랑을 외치다,138.0,3,7,유키사다 이사오,나가사와 마사미,(주)동아수출공사,315274,10,0.0
20040525,패션 오브 크라이스트,126.0,2,1,멜 깁슨,제임스 카비젤,(주)이수C&E,865038,04,0.0
20040762,마이 제너레이션,85.0,1,1,노동석,이명수,아트플러스시네마네트워크,3754,12,0.0
20040755,내셔널 트레져,130.0,2,2,존 터틀타웁,다이앤 크루거,한국소니픽쳐스릴리징브에나비스타영화㈜,1170726,12,0.0
20040555,트로이,136.0,2,2,볼프강 페터젠,다이앤 크루거,워너브러더스 코리아(주),2001318,05,0.0
20040649,귀신이 산다,123.0,1,5,김상진,김응수,(주)시네마서비스,1875936,09,0.0
20040490,투모로우,123.0,2,2,롤랜드 에머리히,데니스 퀘이드,이십세기폭스필름코퍼레이션,1830767,06,0.0
20040596,바람의 파이터,120.0,1,2,양윤호,양동근,영화사청어람(주),1442299,08,0.0
20040597,"아이, 로봇",110.0,2,3,알렉스 프로야스,윌 스미스,이십세기폭스필름코퍼레이션,1108063,07,0.0
20040641,S 다이어리,104.0,1,5,권종관,공유,CJ ENM,1098583,10,0.0
20040700,나비효과,113.0,2,1,에릭 브레스,에이미 스마트,(주)쇼박스,957728,11,1.0
20040580,반 헬싱,125.0,2,2,스티븐 소머즈,케이트 베킨세일,(주)스튜디오이쩜영,872828,07,0.0
20040657,여선생 VS 여제자,109.0,1,5,장규성,김응수,CJ ENM,846683,11,0.0
20040595,"달마야, 서울 가자",101.0,1,5,육상효,김지영,(주)시네마서비스,703507,07,0.0
20040717,블레이드 3,112.0,2,2,데이빗 S. 고이어,웨슬리 스나입스,(주)쇼박스,728229,12,1.0
20040593,분신사바,120.0,1,8,안병기,김규리,브에나비스타인터내셔널코리아,608479,08,0.0
20040655,콜래트럴,120.0,2,2,마이클 만,톰 크루즈,UIP코리아,576532,10,0.0
20040659,돈 텔 파파,102.0,1,5,이상훈,정웅인,CJ ENM,558745,09,0.0
20040651,꽃피는 봄이 오면,128.0,1,1,류장하,최민식,영화사청어람(주),497689,09,0.0
20040628,우리 형,112.0,1,1,안권태,원빈,CJ ENM,1778607,10,0.0
20040482,맹부삼천지교,117.0,1,5,김지영,손창민,CJ ENM,229240,03,0.0
20040585,내 남자의 로맨스,112.0,1,1,박제현,김상경,CJ ENM,765720,07,0.0
20040586,돌려차기,109.0,1,5,남상국,박지연,(주)시네마서비스,41401,07,0.0
20040613,알포인트,106.0,1,8,공수창,감우성,(주)시네마서비스,1068362,08,0.0
20040619,슈퍼스타 감사용,115.0,1,1,김종현,이범수,CJ ENM,627199,09,0.0
20040743,브리짓 존스의 일기2 : 열정과 애정,107.0,3,7,비번 키드론,르네 젤위거,UIP코리아,1120022,12,0.0
20040479,휴먼 스테인,106.0,2,1,로버트 벤튼,니콜 키드먼,(주)쇼박스,18141,03,0.0
20040625,얼굴 없는 미녀,104.0,1,3,김인식,김혜수,CJ ENM,346015,08,1.0
20040489,여자는 남자의 미래다,87.0,1,1,홍상수,유지태,CJ ENM,116662,05,1.0
20040688,빈집,88.0,1,1,김기덕,이승연,영화사청어람(주),71566,10,0.0
20040554,가족,95.0,1,1,이정철,수애,(주)튜브엔터테인먼트,1270581,09,0.0
20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,108.0,1,5,강석범,김주혁,(주)시네마서비스,181510,03,0.0
20040568,내 여자친구를 소개합니다,118.0,1,7,곽재용,전지현,CJ ENM,1298666,06,0.0
20040446,그녀를 믿지 마세요,112.0,1,5,배형준,강동원,(주)시네마서비스,298221,02,0.0
20030435,내사랑 싸가지,95.0,1,5,신동엽,김재원,(주)시네마서비스,296125,01,0.0
20040480,고독이 몸부림칠 때,97.0,1,5,이수인,주현,(주)쇼박스,10745,03,0.0
20040576,늑대의 유혹,113.0,1,1,김태균,강동원,(주)쇼박스,1297296,07,0.0
