runTm,nation,genre,director,actor,is_adult,distributor,view,openMonth
136.0,2,1,알폰소 쿠아론,다니엘 래드클리프,0.0,워너브러더스 코리아(주),1865469,07
119.0,3,2,기타노 다케시,기타노 다케시,0.0,(주)영화사 진진,24634,01
116.0,1,3,최동훈,김윤석,1.0,(주)쇼박스,943241,04
125.0,2,1,팀 버튼,이완 맥그리거,0.0,(주)팝엔터테인먼트,85594,03
105.0,1,5,정연원,권용운,0.0,롯데쇼핑㈜롯데시네마,193554,06
148.0,1,1,강제규,장동건,0.0,(주)다자인소프트,2553148,02
135.0,3,1,이와이 슌지,아오이 유우,0.0,(주)미디어캐슬,93403,11
128.0,3,1,왕가위,양조위,1.0,(주)디스테이션,128529,10
123.0,2,7,닉 카사베츠,레이첼 맥아담스,0.0,(주)퍼스트런,651412,11
116.0,3,1,이누도 잇신,츠마부키 사토시,0.0,(주)디스테이션,76019,10
108.0,1,2,김두영,이동준,0.0,(주)엔터모드,3562,05
112.0,3,8,미이케 다카시,시바사키 코우,0.0,(주)쇼박스,235702,07
109.0,3,1,팻티 젠킨스,샤를리즈 테론,1.0,무비즈엔터테인먼트㈜,58840,06
116.0,1,1,임찬상,문소리,0.0,(주)쇼박스,748380,05
85.0,1,5,이한열,박준형,0.0,콜럼비아트라이스타㈜,3074,02
102.0,3,1,장 피에르 다르덴,올리비에 구르메,1.0,(주)동숭아트센터,1088,02
132.0,1,1,박정우,이성재,0.0,(주)시네마서비스,97925,04
132.0,3,1,테오 앙겔로풀로스,브루노 간츠,0.0,㈜영화사 백두대간,8254,11
115.0,1,2,유하,권상우,0.0,CJ ENM,604972,01
119.0,3,7,장예모,금성무,0.0,쇼이스트(주),1027354,09
118.0,3,1,손케 보르트만,루이스 클람로스,0.0,무비즈엔터테인먼트㈜,2786,09
110.0,1,1,허인무,하지원,0.0,코리아픽쳐스(주),675521,08
114.0,1,5,김호준,김래원,0.0,코리아픽쳐스(주),991674,04
110.0,1,1,박흥식,전도연,0.0,CJ ENM,437250,06
137.0,1,1,송해성,설경구,0.0,CJ ENM,1018382,12
116.0,1,1,김수현,김석훈,1.0,(주)튜브엔터테인먼트,51276,11
110.0,3,1,아그네스 자우이,마릴루 베리,0.0,(주)스폰지이엔티,19072,12
113.0,1,11,송일곤,감우성,1.0,영화사청어람(주),63278,09
107.0,1,1,장진,이나영,0.0,(주)시네마서비스,736452,06
148.0,1,10,김동원,조창손,0.0,㈜인디스토리,2624,03
96.0,2,5,길 정거,제니퍼 러브 휴잇,0.0,유니코리아문예투자(주),1021632,10
110.0,3,11,브라이언 드 팔마,안토니오 반데라스,1.0,(주)시네마서비스,29660,11
154.0,2,1,안소니 밍겔라,니콜 키드먼,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,54085,02
115.0,2,12,브래드 버드,홀리 헌터,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,898773,12
105.0,1,2,임권택,조승우,0.0,(주)시네마서비스,224856,05
144.0,2,2,에드워드 즈윅,톰 크루즈,0.0,워너브러더스 코리아(주),298938,01
95.0,1,1,김기덕,곽지민,1.0,쇼이스트(주),44900,03
106.0,2,1,피터 첼섬,제니퍼 로페즈,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,82936,11
99.0,3,1,피터 웨버,스칼렛 요한슨,0.0,(주)영화사 진진,60904,09
80.0,2,1,리차드 링클레이터,줄리 델피,0.0,THE 픽쳐스,126612,10
99.0,3,12,오시이 마모루,타나카 아츠코,0.0,(주)시네마서비스,26116,10
109.0,3,5,리차드 링클레이터,잭 블랙,0.0,윤스,36262,02
100.0,2,12,로버트 저메키스,톰 행크스,0.0,워너브러더스 코리아(주),365945,12
117.0,1,7,이재한,정우성,0.0,CJ ENM,1887868,11
99.0,2,5,피터 시걸,아담 샌들러,0.0,팝엔터테인먼트,220294,04
119.0,1,1,변영주,윤계상,0.0,CJ ENM,87446,12
108.0,3,5,기타노 다케시,히다리 토키에,1.0,(주)영화사 진진,2674,08
101.0,3,1,기타노 다케시,카와하라 사부,0.0,(주)영화사 진진,5513,08
141.0,2,1,조엘 슈마허,제라드 버틀러,0.0,(주)팝엔터테인먼트,1578678,12
138.0,3,7,유키사다 이사오,나가사와 마사미,0.0,(주)동아수출공사,315274,10
126.0,2,1,멜 깁슨,제임스 카비젤,0.0,(주)이수C&E,865038,04
85.0,1,1,노동석,이명수,0.0,아트플러스시네마네트워크,3754,12
130.0,2,2,존 터틀타웁,다이앤 크루거,0.0,한국소니픽쳐스릴리징브에나비스타영화㈜,1170726,12
136.0,2,2,볼프강 페터젠,다이앤 크루거,0.0,워너브러더스 코리아(주),2001318,05
123.0,1,5,김상진,김응수,0.0,(주)시네마서비스,1875936,09
123.0,2,2,롤랜드 에머리히,데니스 퀘이드,0.0,이십세기폭스필름코퍼레이션,1830767,06
120.0,1,2,양윤호,양동근,0.0,영화사청어람(주),1442299,08
110.0,2,3,알렉스 프로야스,윌 스미스,0.0,이십세기폭스필름코퍼레이션,1108063,07
104.0,1,5,권종관,공유,0.0,CJ ENM,1098583,10
113.0,2,1,에릭 브레스,에이미 스마트,1.0,(주)쇼박스,957728,11
125.0,2,2,스티븐 소머즈,케이트 베킨세일,0.0,(주)스튜디오이쩜영,872828,07
109.0,1,5,장규성,김응수,0.0,CJ ENM,846683,11
101.0,1,5,육상효,김지영,0.0,(주)시네마서비스,703507,07
112.0,2,2,데이빗 S. 고이어,웨슬리 스나입스,1.0,(주)쇼박스,728229,12
120.0,1,8,안병기,김규리,0.0,브에나비스타인터내셔널코리아,608479,08
120.0,2,2,마이클 만,톰 크루즈,0.0,UIP코리아,576532,10
102.0,1,5,이상훈,정웅인,0.0,CJ ENM,558745,09
128.0,1,1,류장하,최민식,0.0,영화사청어람(주),497689,09
112.0,1,1,안권태,원빈,0.0,CJ ENM,1778607,10
117.0,1,5,김지영,손창민,0.0,CJ ENM,229240,03
112.0,1,1,박제현,김상경,0.0,CJ ENM,765720,07
109.0,1,5,남상국,박지연,0.0,(주)시네마서비스,41401,07
106.0,1,8,공수창,감우성,0.0,(주)시네마서비스,1068362,08
115.0,1,1,김종현,이범수,0.0,CJ ENM,627199,09
107.0,3,7,비번 키드론,르네 젤위거,0.0,UIP코리아,1120022,12
106.0,2,1,로버트 벤튼,니콜 키드먼,0.0,(주)쇼박스,18141,03
104.0,1,3,김인식,김혜수,1.0,CJ ENM,346015,08
87.0,1,1,홍상수,유지태,1.0,CJ ENM,116662,05
88.0,1,1,김기덕,이승연,0.0,영화사청어람(주),71566,10
95.0,1,1,이정철,수애,0.0,(주)튜브엔터테인먼트,1270581,09
108.0,1,5,강석범,김주혁,0.0,(주)시네마서비스,181510,03
118.0,1,7,곽재용,전지현,0.0,CJ ENM,1298666,06
112.0,1,5,배형준,강동원,0.0,(주)시네마서비스,298221,02
95.0,1,5,신동엽,김재원,0.0,(주)시네마서비스,296125,01
97.0,1,5,이수인,주현,0.0,(주)쇼박스,10745,03
113.0,1,1,김태균,강동원,0.0,(주)쇼박스,1297296,07
114.0,1,2,류승완,류승범,0.0,(주)시네마서비스,810430,04
125.0,3,8,프루트 챈,강혜정,1.0,CJ ENM,180377,08
110.0,1,1,김지훈,김윤태,0.0,코리아픽쳐스(주),425725,02
98.0,1,8,김태경,김하늘,0.0,(주)쇼박스,558807,06
109.0,1,5,신정원,권오중,0.0,(주)쇼박스,1263196,08
110.0,1,5,김도혁,김현주,0.0,(주)쇼박스,282552,12
104.0,1,1,김은숙,김하늘,0.0,(주)쇼박스,55656,01
105.0,1,5,장현수,김효진,1.0,(주)시네마서비스,542955,07
116.0,1,5,박헌수,류성훈,0.0,쇼이스트(주),568230,07
119.0,1,3,변혁,성현아,1.0,(주)쇼박스,1030668,10
100.0,1,5,박한준,공유,0.0,(주)쇼박스,30435,01
119.0,3,12,미야자키 하야오,바이쇼 치에코,0.0,(주)이수C&E,2614043,12
124.0,3,12,미야자키 하야오,안나 파킨,0.0,대원미디어(주),21592,04
175.0,2,1,올리버 스톤,콜린 파렐,0.0,(주)시네마서비스,1310651,12
110.0,3,1,폴 그린그래스,팀 피곳 스미스,0.0,㈜영화사 백두대간,53838,06
80.0,3,1,바흐만 고바디,로진 요우네시,0.0,㈜영화사 백두대간,1099,07
105.0,1,1,김진민,김응수,0.0,(주)튜브엔터테인먼트,40361,01
82.0,1,12,송근식,강수진,0.0,에이아이씨코리아(AIC KOREA),6495,07
111.0,2,5,제리 주커,로완 앳킨슨,0.0,롯데쇼핑㈜롯데시네마,62026,09
144.0,3,1,예르지 카발레로비치,파웰 데라그,0.0,신한영화(주),1932,12
94.0,3,5,까트린느 브레이야,그레고리 콜린,1.0,㈜영화사 백두대간,4230,09
110.0,3,5,프랑수아 오종,까뜨린느 드뇌브,0.0,무비즈엔터테인먼트㈜,17951,02
