movieNm,openDt,view
#살아있다,20200624,1903992
#아이엠히어,20210114,16404
#위왓치유,20210603,1855
0.0MHz,20190529,137294
007 노 타임 투 다이,20210929,1229971
007 스카이폴,20121026,2376266
007 스펙터,20151111,1820842
007 제2편 : 위기일발,19730921,7448
007 카지노 로얄,20061221,1012085
007 퀀텀 오브 솔러스,20081105,2205160
009 사이보그,20130509,1656
10 아이템 오어 레스,20130613,1676
"10,000 BC",20080313,1134364
"10,000km(만 킬로미터)",20150716,1387
100 피트,20080724,76985
100% 울프: 푸들이 될 순 없어,20201224,17089
100미터,20170720,1770
100일 동안 100가지로 100퍼센트 행복찾기,20190912,32694
10년,20191212,1570
10분,20140424,3428
10억,20090806,433866
10일간의 원나잇 스탠드,20121129,1510
12 솔져스,20180131,223763
120 BPM,20180315,5196
127시간,20110217,180847
12번째 솔저,20190411,2427
12인의 하숙생,19790116,1296
13구역,20060824,222570
13구역: 얼티메이텀,20090416,501736
13년의 공백,20190704,5543
13시간,20160303,145952
13일의 금요일,20090312,208118
13일의 금요일: 더 파이널,20180309,3292
1408,20070801,252878
15소년 표류기: 해적섬을 탈출하라,20141127,4580
1724 기방난동사건,20081203,288452
"1789, 바스티유의 연인들",20140918,4778
18: 우리들의 성장 느와르,20140814,1124
19-Nineteen,20091112,32616
1917,20200219,879471
1919 유관순,20190314,61938
1942: 언노운 배틀,20200729,5459
1945: 포인트 오브 노 리턴,20200624,1369
1984 최동원,20211111,11515
1987,20171227,7232452
"1991, 봄",20181031,6106
"1999, 면회",20130221,3405
19곰 테드,20120927,266574
19곰 테드 2,20150625,170647
1급기밀,20180124,218795
1번가의 기적,20070214,2535450
1월의 두 얼굴,20140911,4715
2 데이즈 인 뉴욕,20130829,6443
20 30 40,20041022,1550
2005년 미장센 단편영화제,20050623,4949
2005칸국제광고제 수상작 필름페스티벌,20051029,4273
2006CJ중국영화제,20060901,1514
2007 시네바캉스 서울,20070719,3880
2007 아시아나국제단편영화제,20071101,2213
2007 칸국제광고제 수상작 필름 페스티벌,20071004,6004
2007CJ중국영화제,20070905,1248
2008 광주국제영화제,20081204,1193
2008 서태지 심포니 위드 톨가 카쉬프 로열필하모닉,20100122,17264
2008년 시네마테크의 친구들 영화제,20080108,7693
2010 빅뱅라이브콘서트 BIGSHOW 3D,20110202,11948
2010 시네바캉스 서울,20100730,5118
2010년 시네마테크의 친구들 영화제,20100115,6853
2010칸국제광고제 수상작페스티벌,20101007,2517
2012,20091112,5397597
"2021 스웨그 에이지 : 외쳐, 조선!",20210513,3615
2046,20041015,128529
20세기 소년,20080911,183069
20세기 소년-제2장: 마지막 희망,20091217,1448
21,20080619,108825
21 그램,20041023,64551
21 브릿지: 테러 셧다운,20200101,127767
21세기 우리 시대의 영화 특별전,20101009,1294
22,20180814,2438
22 블렛,20101014,128534
22년 후의 고백,20180117,1732
23 아이덴티티,20170222,1676011
24 시티,20090129,1993
24주,20170615,4040
25시,19780707,8691
26년,20121129,2963652
27번의 결혼리허설,20080306,239739
28세 미성년,20181121,11178
28일 후,20030918,1685
2AM SHOW,20101209,4020
2월 29일 - 어느날 갑자기 첫번째 이야기,20060721,56958
3-4X10월,20040820,1777
300,20070314,2929561
300: 제국의 부활,20140306,1593116
33,20160407,41269
355,20220209,49098
3:10 투 유마,20080221,47072
3xFTM,20090604,1353
4 브라더스,20051014,79811
4.4.4,20070620,208645
400번의 구타,20160413,2282
40살까지 못해본 사람,20051104,50339
438일,20210121,1074
45년 후,20160505,24022
47 미터,20170719,590048
47미터 2,20190828,501934
48미터,20130704,13886
"4개월, 3주... 그리고 2일",20080228,7887
4교시 추리영역,20090812,67602
4등,20160413,39835
4요일: 자살을 부르는 요일,20081211,26962
4월 이야기,20000408,5981
4월은 너의 거짓말,20220420,3014
4인의 무뢰한,19710528,1309
5 투 7,20151119,4921
5.18 힌츠페터 스토리,20180517,10722
50/50,20111124,137317
500일의 썸머,20100121,298624
50가지 그림자: 심연,20170209,189620
50가지 그림자: 해방,20180221,217785
577 프로젝트,20120830,96080
5x2,20060526,3458
5백만불의 사나이,20120719,104736
5일의 마중,20141008,55084
5쿼터,20120823,1909
6 웨이 투 다이,20170905,3378
60만번의 트라이,20140918,21597
69 식스티 나인,20050325,14778
69세,20200820,9886
6년째 연애중,20080205,1112238
6월의 뱀,20041210,2718
6월의 일기,20051201,593867
7광구,20110804,2242510
7급 공무원,20090422,4039891
7년-그들이 없는 언론,20170112,17565
7년의 밤,20180328,528007
7번방의 선물,20130123,12812144
7번째 내가 죽던 날,20170531,34567
7번째 아들,20150211,92598
7인의 신부,19721224,8411
7호실,20171115,348017
8 마일,20030221,17667
800,20201210,16625
80일간의 세계 일주,20040917,478555
82년생 김지영,20191023,3679162
88분,20080529,281781
8명의 여인들,20040227,17951
8월의 일요일들,20060929,1545
8월의 크리스마스,19980124,31371
8인: 최후의 결사단,20100121,116056
9:나인,20090909,96332
A-특공대,20100610,777985
ARKO LIVE 뮤지컬 시데레우스,20210211,3158
BB프로젝트,20060928,349173
B급 며느리,20180117,20271
B컷,20220330,4763
B형 남자친구,20050203,1174581
CCTV,20210707,1188
CGV 한국단편 애니메이션영화제2006[4.20-4.23],20060422,2409
CJ 아시아인디영화제[2005.11.3-11.8],20051103,7653
CJ7:장강7호,20080821,312576
D-day-어느날 갑자기 세번째 이야기,20060803,19812
"DMZ, 비무장지대",20041126,102233
DOA,20061019,129754
F20,20211006,23372
Full Moon day 씨네큐브 영화축제,20070920,4774
G-포스: 기니피그 특공대,20100422,39522
GP 506,20080403,936945
GROW: 인피니트의 리얼 청춘 라이프,20141204,23926
I AM,20120621,33018
J-무비페스티벌 (버라이어티 나인 J - 무비페스티벌),20070824,2294
JSA 남북공동초등학교,20160121,1049
K 미싱 킹즈,20150416,1509
MB의 추억,20121018,14961
MR. 후아유,20080103,23661
Memories of Sponge 2008_외국영화,20081218,2215
Mr.로빈 꼬시기,20061207,680241
Mr.스타벅,20120913,5356
Mr.아이돌,20111103,74261
Mr.히치: 당신을 위한 데이트 코치,20050311,607754
O.J. 심슨 사건 파일,20200805,1374
P.S. 아이 러브 유,20080103,315558
PMC: 더 벙커,20181226,1671548
R.I.P.D. : 알.아이.피.디.,20130822,101460
R2B: 리턴투베이스,20120815,1201944
REC 알이씨,20111124,2799
S 다이어리,20041022,1098583
S 중독자의 고백,20111229,1284
SICAF2006 서울국제만화애니페스티벌(0524-0528),20060524,6280
SICAF2007서울국제만화애니페스티벌,20070523,4778
SX 테잎,20140529,7229
S러버,20090917,93508
U.F.O.,20120524,1240
[팡테옹 뒤 시네마 프랑세]영화제(2006),20060831,2162
n번째 이별 중,20200401,24979
pm 11:14,20050602,228934
新극장판 이니셜D: 레전드3 -몽현-,20160825,5544
가구야공주 이야기,20140604,16533
가까이서 본 기차,20070510,4650
가나의 혼인잔치: 언약,20201126,13790
가능한 변화들,20050318,2011
가디언,20061102,143126
가디언의 전설,20101028,302318
가디언즈,20121129,1081096
가디언즈 오브 갤럭시,20140731,1344599
가디언즈 오브 갤럭시 VOL. 2,20170503,2736060
가려진 시간,20161116,511369
가루지기,20080430,269478
가름워즈: 마지막 예언자,20151203,1363
가면,20071227,318614
가면무도회,20130629,1017
가문의 부활 - 가문의 영광3,20060921,2598859
가문의 영광4 - 가문의 수난,20110907,2368267
가문의 영광5 - 가문의 귀환,20121219,1160021
가문의 위기(가문의 영광2),20050907,4529876
가발,20050812,448161
가버나움,20190124,147132
가부와 메이 이야기,20060209,251875
가비,20120315,270602
가슴이 떨리는 건 너 때문,20220209,1941
가시,20140410,142170
가시꽃,20130822,1772
가위손,19910629,6142
가을 소나타,20120322,3144
가을 우체국,20171019,3099
가을로,20061026,601733
가을비 우산속에,19790823,3164
가을의 마티네,20201231,4014
가을의 전설,19950318,2443
가자! 장미여관으로 2 - 갈증,20140410,3534
가자! 장미여관으로 3 - 방황,20141008,1529
"가자, 장미여관으로",20130814,8307
"가장 따뜻한 색, 블루",20140116,55573
가장 보통의 연애,20191002,2924563
가족,20040903,1270581
가족시네마,20121108,2639
가족의 나라,20130307,5545
가족의 색깔,20211027,1710
가족의 탄생,20060518,201227
가치 캅시다,20211028,2365
가필드,20040819,240236
가필드 2,20060727,185249
가필드 펫 포스 3D,20110127,36454
가필드-마법의 샘물,20090219,97145
각설탕,20060810,1265508
간 큰 가족,20050609,1305518
간기남,20120411,1246185
간신,20150521,1110274
간이역,20210218,3061
간첩,20120920,1310895
간츠,20110728,5802
간츠: 오,20170511,1642
간츠: 퍼펙트 앤서,20110811,4247
간호중,20211202,4969
갇힌 여인,20051223,1896
갈매기,20181213,11887
갈매기,20210728,5572
갈증,20141204,7001
감기,20130814,3117859
감바의 대모험,20161110,117591
감시자들,20130703,5509019
감자,19880301,2722
감자심포니,20091210,1002
감쪽같은 그녀,20191204,469657
갓 오브 이집트,20160303,919882
갓 헬프 더 걸,20150212,5724
갓센드,20040903,33405
갓즈 포켓,20160128,2038
갓파 쿠와 여름방학을,20080626,38202
강남 1970,20150121,2192276
강력 3반,20050929,828112
강릉,20211110,306809
강변호텔,20190327,6975
강적,20060622,318142
강철대오:구국의 철가방,20121025,233211
강철비,20171214,4452900
강철비2 : 정상회담 확장판,20200930,18306
강철비2: 정상회담,20200729,1791683
강철의 연금술사 : 미로스의 성스러운 별,20120126,3441
강철중: 공공의 적 1-1,20080619,4313102
강호,20041022,12317
강호아녀,20210610,2239
개: dog eat dog,20150305,1505
개같은 내인생,19890527,2390
개구리왕국,20151112,53758
개구리왕국 2,20170323,14236
개구리중사 케로로,20060504,78886
개구쟁이 스머프,20110811,1027436
개구쟁이 스머프 2,20130801,921788
개들의 섬,20180621,33229
개들의 전쟁,20121122,23398
개를 훔치는 완벽한 방법,20141231,306995
개에게 처음 이름을 지어준 날,20170406,2008
개인교수 2014,20141008,1407
갤럭시 히어로즈: 라쳇 앤 클랭크,20160817,46793
갤로우즈,20150903,88777
갤버스턴,20190704,6536
갬빗,20131128,14489
갱,20200116,10334
갱스터 초치,20060615,1766
거꾸로 된 파테마,20140417,1957
거대한 서부,19721020,1391
거룩한 계보,20061019,1433696
거룩한 분노,20180628,4525
거미숲,20040903,63278
거미의 땅,20160114,1302
거미줄에 걸린 소녀,20181128,32418
거북이 달린다,20090611,3024666
거북이도 난다,20050422,13731
거울나라의 앨리스,20160907,513202
거인,20141113,24077
거짓말,20151029,5212
거짓말 2014,20141022,1058
거짓말 섹스가 좋아2,20131224,4490
거친 녀석들,20070830,6102
거칠마루,20050915,1894
거침없이 쏴라! 슛뎀업,20071011,99477
건,20131226,1539
건즈 아킴보,20200415,27928
건축학개론,20120322,4114160
건파우더 밀크셰이크,20210908,37496
걷기왕,20161020,95692
걸,20210107,5087
걸 온 더 트레인,20170309,29190
걸리버 여행기,20110127,1762071
걸스 나잇,20180309,3334
걸스카우트,20080605,248813
걸어도 걸어도,20090618,35223
걸즈 앤 판처 극장판,20160825,33468
걸즈 앤 판처 제​ 63회 전차도 전국 고교생 대회,20200409,1955
걸즈 앤 판처 최종장,20200312,4850
걸즈 앤 판처 최종장 제1화,20200108,4380
걸즈 앤 판처 최종장 제3화,20220112,5768
걸캅스,20190509,1629528
걸프렌즈,20091217,108396
걸후드,20201112,12230
검객,20200923,190237
검사외전,20160203,9707581
검우강호,20101014,312334
검은 사제들,20151105,5443232
검은 집,20070621,1322196
검은손,20150416,11650
겁나는 여친의 완벽한 비밀,20060817,251788
겁쟁이 페달: 더 무비,20160114,11867
겁쟁이 페달: 리라이드,20160114,2765
겁쟁이 페달: 리로드,20160114,3106
겁쟁이 페달: 스페어 바이크,20161117,2448
게드전기 : 어스시의 전설,20060810,205528
게스후,20050902,123103
게이머,20091001,305927
게이샤의 추억,20060202,849277
게이트,20180228,101381
게이트-완결판,20180621,1408
겟 스마트,20080619,175390
겟 썸,20080522,119124
겟 아웃,20170517,2141199
겨울나그네,19860412,3475
겨울로 가는 마차,19820101,3244
겨울밤에,20201210,2003
겨울여자,19770927,7657
겨울왕국,20140116,10303058
겨울왕국 2,20191121,13747792
겨울왕국의 무민,20180208,24658
결백,20200610,894025
결정적 한방,20111207,60944
결혼 이야기,20191127,24510
결혼전야,20131121,1214839
결혼하고도 싱글로 남는법,20071206,9548
결혼하지 않아도 괜찮을까,20150409,12003
경,20100429,1215
경계,20160630,1145
경계도시 2,20100318,9455
경계선,20191024,18047
경계의 저편 : I'LL BE HERE -과거편-,20151022,3579
경계의 저편 : I'LL BE HERE -미래편-,20151008,8579
경관의 피,20220105,684681
경성학교: 사라진 소녀들,20150618,356436
경의선,20070510,4026
경주,20140612,63546
경축! 우리사랑,20080410,12904
계몽영화,20100916,2493
계절과 계절 사이,20191003,1826
계춘할망,20160519,482784
고 녀석 맛나겠다,20110707,59640
고 피쉬!,20200723,4479
고死 : 피의 중간고사,20080807,1634192
고死 두 번째 이야기: 교생실습,20100728,857038
고갈,20090903,1025
고고 70,20081003,595199
고교얄개,19770129,2880
고녀석 맛나겠다2 : 함께라서 행복해,20150729,56105
고독이 몸부림칠 때,20040319,10745
고래를 찾는 자전거,20110922,9488
고래와 창녀,20060713,1205
고려 아리랑: 천산의 디바,20170525,4092
고령가 소년 살인사건,20171123,10478
고령화 가족,20130509,1141518
고릴라와 슈퍼레이스,20190403,5814
고백,20110331,43748
고백,20210224,32602
"고산자, 대동여지도",20160907,974262
고스트 라이더,20070412,355223
고스트 라이더 : 복수의 화신,20120216,117267
고스트 메신저 극장판,20140522,23802
고스트 스토리,20171228,8773
고스트 오브 워,20200902,7531
고스트 헌터: 얼음 몬스터의 부활,20160225,7270
고스트: 보이지 않는 사랑,20101125,6624
고스트버스터즈,20160825,515553
고스트버스터즈 라이즈,20211201,114940
고스팅 글로리아,20220414,1268
고야 : 살과 피의 환상,20171130,1728
고야의 유령,20080403,4591
고양이 사무라이,20141127,5029
고양이 살인사건,20150903,2263
고양이 여행 리포트,20190509,11321
고양이 장례식,20150115,2865
고양이 집사,20200514,2999
고양이 춤,20111117,13033
고양이 케디,20170921,7281
고양이: 죽음을 보는 두 개의 눈,20110707,672340
고양이는 불러도 오지 않는다,20160609,3306
고양이들의 아파트,20220317,6597
고양이를 부탁해,20011012,7546
고양이를 빌려드립니다,20121213,15132
고양이에게 밥을 주지 마세요,20211111,1248
고양이와 할아버지,20200423,2625
고장난 론,20211027,160005
고지전,20110720,2945151
고질라,20140515,709734
고질라 VS. 콩,20210325,703485
고질라: 킹 오브 몬스터,20190529,359041
고티카,20040402,23473
고하토,20040423,1613
고향이 어디세요,20171109,2387
"고흐, 영원의 문에서",20191226,38827
곡성,20160512,6879989
곤지암,20180328,2676427
곤충왕국 3D,20140814,11263
골!,20051104,10926
골드,20170322,25659
골든 슬럼버,20100826,65167
골든 에이지,20071122,173887
골든 에이지 + 라 비앙 로즈 + 베오울프,20071121,2007
골든슬럼버,20180214,1387508
곰돌이 푸 다시 만나 행복해,20181003,492201
곰이 되고 싶어요,20040130,3434
공각기동대,20020412,2702
공각기동대 : 고스트 인 더 쉘,20170329,764072
공각기동대 S.A.C - Solid State Society,20130523,1036
공각기동대 신극장판,20170420,1376
공공의 적 2,20050127,3134424
공기살인,20220422,155825
공기인형,20100408,13823
공동경비구역 JSA,20000908,3517
공동정범,20180125,11899
공룡 티렉스,20060413,7528
공모자들,20120829,1646142
공범,20131024,1766285
공범자들,20170817,260514
공수도,20200409,2950
공자 춘추전국시대,20100211,371607
공작,20180808,4975517
공작부인:세기의 스캔들,20081016,250657
공정사회,20130418,14537
공조,20170118,7817654
공주와 개구리,20100121,104274
공포분자,20200917,5868
공포사운드페스티발,20070718,1017
공포의 묘지,20190410,102826
공포체험단 곤지암편,20190719,3282
공포체험라디오 4DX,20200916,1794
공필두,20060511,160208
과거가 없는 남자,20051014,2642
과속스캔들,20081203,8223342
관계,20140827,2146
관계의 가나다에 있는 우리는,20210128,3371
관능의 법칙,20140213,781516
관상,20130911,9135806
광대: 소리꾼,20220224,14435
광대들: 풍문조작단,20190821,637461
광대를 위한 슬픈 발라드,20120809,1654
광식이 동생 광태,20051123,2024818
광인옥한흠,20171228,2985
광주비디오: 사라진 4시간,20200716,2618
"광해, 왕이 된 남자",20120913,12324062
괜찮아 3반,20130905,1948
괜찮아 울지마,20070830,1890
"괜찮아요, 미스터 브래드",20170921,17747
괴기맨숀,20210630,32752
괴물,20060727,10917400
괴물들,20180308,3277
괴물의 아이,20151125,226035
괴짜들의 로맨스,20211117,8450
괴테스쿨의 사고뭉치들,20141120,1783
교실 안의 야크,20200930,11724
교회오빠,20190516,113035
구구는 고양이다,20081016,39003
"구라, 베토벤",20210225,3594
구르는 수레바퀴,20200923,1072
구르믈 버서난 달처럼,20100428,1383867
"구름의 저편, 약속의 장소",20170228,5544
구미호 가족,20060928,141610
구세주,20060216,1621131
구세주 2,20090226,117006
구세주: 리턴즈,20170914,6151
구스 베이비,20190116,91490
구스범스,20160114,305134
구스범스: 몬스터의 역습,20181107,25857
구원,20210408,3689
구원받은 도둑,20211028,1275
구타유발자들,20060531,143061
국가대표,20090729,8035181
국가대표 2,20160810,710316
국가대표 완결판-못 다한 이야기,20090910,357436
국가부도의 날,20181128,3755469
국경의 남쪽,20060504,227304
국경의 왕,20190228,2106
국도극장: 감독판,20200529,1127
국제수사,20200929,537470
국제시장,20141217,14263980
