영화명,개봉일,관객수,누적관객수,year_month
투모로우,2004-06-03,1605042,1605042,200406
내 여자친구를 소개합니다,2004-06-03,1291669,1292779,200406
슈렉2,2004-06-18,1048825,1048825,200406
트로이,2004-05-21,1004638,1950907,200406
령,2004-06-17,455666,455666,200406
페이스,2004-06-11,238950,238950,200406
아는 여자,2004-06-25,196811,196811,200406
나두야 간다,2004-06-25,129544,129544,200406
스파이더맨 2,2004-06-30,108193,108193,200406
옹박 - 무에타이의 후예,2004-05-26,88193,147900,200406
데스티네이션 2,2004-06-11,87267,87267,200406
디 아이2,2004-05-26,62045,150477,200406
몬스터,2004-06-18,53777,53777,200406
내 남자 친구는 왕자님,2004-06-18,50073,50073,200406
아라한 장풍대작전,2004-04-30,41976,810379,200406
블러디 선데이,2004-06-18,40015,40015,200406
인어 공주,2004-06-30,38640,38640,200406
하류인생,2004-05-21,32647,224794,200406
레이디킬러,2004-06-04,25005,25005,200406
효자동 이발사,2004-05-05,22750,748380,200406
대단한 유혹,2004-06-25,13109,13109,200406
"[통합]회고전, 기획전 등",,11486,23325,200406
킬 빌2,2004-05-14,3919,138031,200406
새벽의 저주,2004-05-14,2668,106515,200406
패션 오브 크라이스트,2004-04-02,2419,840422,200406
올드보이,2003-11-21,2218,299163,200406
범죄의 재구성,2004-04-15,2015,942171,200406
[통합]영화패키지상영,,1771,4331,200406
더 블루스-소울 오브 맨,2004-05-14,1297,4204,200406
[통합]단편영화,,1165,1165,200406
엄마는 여자를 좋아해,2004-04-30,1157,3911,200406
어린 신부,2004-04-02,956,991674,200406
클레멘타인,2004-05-21,796,3562,200406
여자는 남자의 미래다,2004-05-05,545,116546,200406
소녀 검객 아즈미 대혈전,2004-06-25,538,538,200406
퍼펙트 블루,2004-05-26,310,563,200406
달은...해가 꾸는 꿈,1992-02-29,99,99,200406
무간도3 - 종극무간,2004-07-02,98,41502,200406
복수는 나의 것,2002-03-28,52,52,200406
스타스키와 허치,2004-04-30,31,14212,200406
여섯 개의 시선,2003-11-14,31,31,200406
음양사2,2004-06-25,31,31,200406
3인조,1997-05-24,20,20,200406
블루베리,,2,2,200406
공공의 적,2002-01-24,1,1,200406
공동경비구역 JSA,2000-09-08,1,1,200406
퀸카로 살아남는 법,2004-09-03,0,0,200406
트로이,2004-05-21,946269,946269,200405
효자동 이발사,2004-05-05,724187,725630,200405
아라한 장풍대작전,2004-04-30,710466,768403,200405
범죄의 재구성,2004-04-15,306814,940156,200405
하류인생,2004-05-21,192147,192147,200405
어린 신부,2004-04-02,190468,990718,200405
킬 빌2,2004-05-14,134112,134112,200405
여자는 남자의 미래다,2004-05-05,115391,116001,200405
새벽의 저주,2004-05-14,103847,103847,200405
디 아이2,2004-05-26,88432,88432,200405
패션 오브 크라이스트,2004-04-02,75090,838003,200405
옹박 - 무에타이의 후예,2004-05-26,59707,59707,200405
첫키스만 50번째,2004-04-15,31064,182614,200405
태극기 휘날리며,2004-02-05,23845,2544911,200405
라이어,2004-04-23,23437,108156,200405
인 더 컷,2004-04-30,20421,26973,200405
천공의 성 라퓨타,2004-04-30,19560,21237,200405
스쿠비-두2 : 몬스터 대소동,2004-04-30,18033,18954,200405
스타스키와 허치,2004-04-30,10292,14181,200405
"[통합]회고전, 기획전 등",,6317,11839,200405
더티 댄싱 - 하바나 나이트,2004-04-23,2959,24876,200405
더 블루스-소울 오브 맨,2004-05-14,2907,2907,200405
클레멘타인,2004-05-21,2766,2766,200405
엄마는 여자를 좋아해,2004-04-30,2220,2754,200405
저지 걸,2004-04-09,1615,91127,200405
[통합]영화패키지상영,,1244,2560,200405
붉은 다리 아래 따뜻한 물,2004-04-30,1211,1384,200405
내 여자친구를 소개합니다,2004-06-03,1110,1110,200405
막달레나 시스터즈,2004-05-07,458,458,200405
퍼펙트 블루,2004-05-26,253,253,200405
오토기리소우,2004-04-23,149,2959,200405
알게 될거야,2004-02-13,87,87,200405
8명의 여인들,2004-02-27,66,17900,200405
카우보이 비밥-천국의문,2003-10-03,57,57,200405
네드 켈리,2004-04-16,41,1270,200405
곰이 되고 싶어요,2004-01-30,39,3353,200405
테이킹 라이브즈,2004-04-15,33,38736,200405
스페니쉬 아파트먼트,2004-01-01,25,25,200405
영매-산자와 죽은자의 화해,2003-09-05,14,14,200405
햄릿 2000,,10,10,200405
송환,2004-03-19,3,1660,200405
어린 신부,2004-04-02,799582,800250,200404
패션 오브 크라이스트,2004-04-02,760368,762913,200404
범죄의 재구성,2004-04-15,633342,633342,200404
첫키스만 50번째,2004-04-15,151550,151550,200404
태극기 휘날리며,2004-02-05,149940,2521066,200404
맹부삼천지교,2004-03-26,144213,229240,200404
바람의 전설,2004-04-09,97925,97925,200404
저지 걸,2004-04-09,89512,89512,200404
라이어,2004-04-23,84719,84719,200404
아라한 장풍대작전,2004-04-30,57937,57937,200404
마지막 늑대,2004-04-01,47731,47731,200404
아홉살 인생,2004-03-26,44858,85312,200404
무간도3 - 종극무간,2004-07-02,41404,41404,200404
테이킹 라이브즈,2004-04-15,38703,38703,200404
폴리와 함께,2004-04-02,37807,37807,200404
고티카,2004-04-02,23473,23473,200404
더티 댄싱 - 하바나 나이트,2004-04-23,21917,21917,200404
헌티드 맨션,2004-04-15,9883,9883,200404
어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,2004-03-12,7268,181510,200404
인 더 컷,2004-04-30,6552,6552,200404
배틀로얄 2 - 레퀴엠,2004-04-09,6421,6421,200404
허니,2004-03-26,6336,27330,200404
연애사진,2004-04-09,6021,6021,200404
"[통합]회고전, 기획전 등",,5522,5522,200404
목포는 항구다,2004-02-20,4082,425725,200404
빅 피쉬,2004-03-05,4065,72239,200404
스타스키와 허치,2004-04-30,3889,3889,200404
헌티드,2004-03-12,2935,28708,200404
프리키 프라이데이,2004-04-02,2862,2862,200404
오토기리소우,2004-04-23,2810,2810,200404
천공의 성 라퓨타,2004-04-30,1677,1677,200404
고하토,2004-04-23,1613,1613,200404
사랑할 때 버려야 할 아까운 것들,2004-02-13,1557,138609,200404
효자동 이발사,2004-05-05,1443,1443,200404
송환,2004-03-19,1434,1657,200404
네드 켈리,2004-04-16,1229,1229,200404
밝은 미래,2004-04-23,1052,1052,200404
스쿠비-두2 : 몬스터 대소동,2004-04-30,921,921,200404
[통합]영화패키지상영,,845,1316,200404
