movieCd,movieNm,openDt
20040598,해리포터와 아즈카반의 죄수,20040716
20040666,나쁜 교육,20040917
20030440,자토이치,20040130
20040606,천년여우,20040709
20040487,범죄의 재구성,20040415
20040462,빅 피쉬,20040305
20040559,나두야 간다,20040625
20028542,욕망,20040220
20030371,태극기 휘날리며,20040205
20040704,하나와 앨리스,20041117
20040690,2046,20041015
20040734,노트북,20041126
20040703,"조제, 호랑이 그리고 물고기들",20041029
20040558,클레멘타인,20040521
20040605,착신아리,20040709
20040592,몬스터,20040618
20040483,효자동 이발사,20040505
20040463,마법경찰 갈갈이와 옥동자,20040213
20040678,아들,20040220
20040514,바람의 전설,20040409
20040719,영원과 하루,20041117
20030433,말죽거리 잔혹사,20040116
20040640,연인,20040910
20040665,베른의 기적,20040910
20040612,신부수업,20040805
20040481,어린 신부,20040402
20040515,인어 공주,20040630
20040682,역도산,20041215
20040472,귀여워,20041126
20040761,룩 앳 미,20041223
20040608,거미숲,20040903
20040583,아는 여자,20040625
20040520,송환,20040319
20040695,이프 온리,20041029
20040732,팜므 파탈,20041117
20040461,콜드 마운틴,20040220
20040745,인크레더블,20041215
20040484,하류인생,20040521
20030430,라스트 사무라이,20040109
20040505,사마리아,20040305
20040698,쉘 위 댄스,20041112
20040654,진주 귀걸이를 한 소녀,20040903
20040689,비포 선셋,20041022
20040686,이노센스,20041008
20040447,스쿨 오브 락,20040227
20040748,폴라 익스프레스,20041223
20040673,내 머리 속의 지우개,20041105
20040526,첫키스만 50번째,20040415
20040672,발레 교습소,20041203
20040632,모두 하고 있습니까?,20040806
20040633,그 여름 가장 조용한 바다,20040813
20040721,오페라의 유령,20041208
20040656,세상의 중심에서 사랑을 외치다,20041008
20040525,패션 오브 크라이스트,20040402
20040475,벨리 오브 비스트,20040220
20040762,마이 제너레이션,20041203
20040755,내셔널 트레져,20041231
20040555,트로이,20040521
20040649,귀신이 산다,20040917
20040490,투모로우,20040603
20040596,바람의 파이터,20040812
20040597,"아이, 로봇",20040730
20040641,S 다이어리,20041022
20040700,나비효과,20041112
20040580,반 헬싱,20040730
20040657,여선생 VS 여제자,20041117
20040595,"달마야, 서울 가자",20040709
20040717,블레이드 3,20041215
20040593,분신사바,20040805
20040655,콜래트럴,20041015
20040659,돈 텔 파파,20040903
20040651,꽃피는 봄이 오면,20040923
20040628,우리 형,20041008
20040482,맹부삼천지교,20040326
20040585,내 남자의 로맨스,20040716
20040586,돌려차기,20040723
20040613,알포인트,20040820
20040619,슈퍼스타 감사용,20040917
20040743,브리짓 존스의 일기2 : 열정과 애정,20041208
20040479,휴먼 스테인,20040305
20040468,알게 될거야,20040213
20040625,얼굴 없는 미녀,20040806
20040489,여자는 남자의 미래다,20040505
20040688,빈집,20041015
20040554,가족,20040903
20040471,어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장,20040312
20040568,내 여자친구를 소개합니다,20040603
20040446,그녀를 믿지 마세요,20040220
20030435,내사랑 싸가지,20040116
20040480,고독이 몸부림칠 때,20040319
20040576,늑대의 유혹,20040722
20040488,아라한 장풍대작전,20040430
20040637,쓰리 몬스터,20040820
20030413,목포는 항구다,20040220
20040571,령,20040617
20040617,시실리 2km,20040813
20040750,신석기 블루스,20041230
20040441,빙우,20040116
20040624,누구나 비밀은 있다,20040730
20040567,투 가이즈,20040709
20040671,주홍글씨,20041029
20030439,그녀를 모르면 간첩,20040130
20040756,하울의 움직이는 성,20041223
20040549,천공의 성 라퓨타,20040430
20040577,완전한 사육 2 - 사랑의 40일,20040604
20040706,알렉산더,20041231
20040579,블러디 선데이,20040618
20040635,취한 말들을 위한 시간,20040730
20060168,판타스틱 플래닛,20040409
20030434,안녕! 유에프오,20040130
20040611,날으는 돼지 - 해적 마테오,20040724
20112810,품행제로,20040327
20040527,스나이퍼 2,20040326
20040726,비키퍼,20041027
20040477,사무라이,20040220
20040663,노 브레인 레이스,20040924
20040763,쿼바디스 도미네,20041210
20040780,우작,20041105
20040661,섹스 이즈 코메디,20040916
20040534,못말리는 이혼녀,20040325
20040679,아저씨 우리 결혼할까요?,20041015
20040464,8명의 여인들,20040227
20040722,러브 인 아프리카,20041210
20040621,맥덜,20040903
20040469,신설국,20040227
20030162,미소,20040213
20040600,프레디 대 제이슨-13일의 금요일11,20040827
20040540,밝은 미래,20040423
20040716,모터사이클 다이어리,20041112
20040752,까불지마,20041203
20040692,강호,20041022
20060771,고리,20040226
20040607,갓센드,20040903
20040498,그놈은 멋있었다,20040722
20040528,고티카,20040402
20040508,아메리칸 러브홀릭,20040326
20040727,기브 잇 올,20041014
20040442,피터 팬,20040116
20040770,써스펙트,20041231
20040736,엘프,20041215
20040753,노 맨스 랜드,20041203
20040486,마지막 늑대,20040401
20040746,서바이빙 크리스마스,20041224
20072160,콰이어트 아메리칸,20040423
20040570,옹박 - 무에타이의 후예,20040526
20040537,라이어,20040423
20040456,어깨동무,20040312
20040545,강령,20040423
20040542,고하토,20040423
20040820,차례로 익사시키기,20040619
20040590,퍼펙트 블루,20040526
20040680,21 그램,20041023
20040677,웨일 라이더,20041008
20040709,슈퍼 사이즈 미,20041112
20040627,아임 낫 스케어드,20040806
20040739,신암행어사,20041126
20040699,20 30 40,20041022
20040660,팻 걸,20040820
20040653,엘리펀트,20040827
20040501,브링 다운 더 하우스,20040227
20040476,사랑도 통역이 되나요?,20040220
20040587,막달레나 시스터즈,20040507
20040562,붉은 다리 아래 따뜻한 물,20040430
20040610,화씨 911,20040722
20040459,스파이 키드 3D,20040213
20040648,에이리언 VS 프레데터,20040903
20040712,미치고 싶을 때,20041112
20040616,가필드,20040819
20040634,3-4X10월,20040820
20040589,페이스,20040611
20040553,새벽의 저주,20040514
20038827,더 블루스: 멤피스로 가는길,20040801
20038838,더 블루스: 악마의불꽃에휩싸여,20040801
20038831,더 블루스: 아버지와 아들,20040801
20038824,"더블루스: 레드,화이트,그리고블루스",20040801
20038820,더블루스: 고향으로 가고 싶다,20040801
20040448,타임라인,20040227
20040512,헌티드,20040312
20040723,사랑에 빠지는 아주 특별한 법칙,20041112
20040642,80일간의 세계 일주,20040917
20070176,스타쉽 트루퍼스2,20040625
20040521,더티 댄싱 - 하바나 나이트,20040423
20040546,오토기리소우,20040423
20040675,호텔 비너스,20040910
20040766,여고생 시집가기,20041223
20040738,"DMZ, 비무장지대",20041126
20040647,도마 안중근,20040910
20040565,망치,20040806
20040783,하나부사,20041230
20040550,헌티드 맨션,20040415
20040443,페이첵,20040122
20040444,너는 찍고 나는 쏘고,20040219
20040782,투 터프 가이즈,20041231
20040767,천지영웅,20041210
20040764,마이 퍼스트 미스터,20041210
20040760,6월의 뱀,20041210
20040730,영 아담,20041203
20040715,포가튼,20041203
20040757,삼사라,20041126
20040740,클린,20041126
20040733,미로,20041126
20040731,엑소시스트: 더 비기닝,20041117
20040720,택시: 더 멕시멈,20041117
20040711,화이트 칙스,20041117
20040708,피구의 제왕,20041112
20040696,레지던트 이블 2-아포칼립스,20041105
20040685,프린세스 다이어리 2,20041029
20040676,스텝포드 와이프,20041001
20040681,카르멘,20040924
20040670,맨 온 파이어,20040924
20040669,캣우먼,20040924
20040650,빌리지,20040924
20040674,카란디루,20040910
20040668,워킹 톨,20040910
20040667,퍼니셔,20040910
20040664,지옥갑자원,20040910
20040572,시크릿 윈도우,20040910
20040581,퀸카로 살아남는 법,20040903
20040636,프리즈 미,20040827
20040532,셧업,20040827
20040646,아메리칸 파이 러브,20040820
20040623,헬보이,20040820
20040615,본 슈프리머시,20040820
20040618,리딕 - 헬리온 최후의 빛,20040813
20040645,미스터 본즈,20040806
20040630,카우 삼총사,20040806
20040629,나에게 유일한,20040806
20040822,미라클 메이커,20040401
20040614,인형사,20040730
20040573,킹 아더,20040723
20040455,무간도3 - 종극무간,20040702
20040491,스파이더맨 2,20040630
20040604,소녀 검객 아즈미 대혈전,20040625
20040584,대단한 유혹,20040625
20040603,음양사2,20040625
20040582,내 남자 친구는 왕자님,20040618
20040566,슈렉2,20040618
20040602,메트레스 연인,20040611
20040601,소울 어쌔신,20040611
20040591,데스티네이션 2,20040611
20040588,레이디킬러,20040604
20040561,버수스,20040528
20040569,디 아이2,20040526
20040557,더 블루스-소울 오브 맨,20040514
20040556,킬 빌2,20040514
20040548,바디 스내치,20040430
20040544,스타스키와 허치,20040430
20040543,스쿠비-두2 : 몬스터 대소동,20040430
20040533,인 더 컷,20040430
20040547,투스카니의 태양,20040423
20040539,블라인드 호라이즌,20040423
20040535,드림 메이커,20040423
20040536,네드 켈리,20040416
20040524,테이킹 라이브즈,20040415
20040529,연애사진,20040409
20040523,배틀로얄 2 - 레퀴엠,20040409
20040499,저지 걸,20040409
20040522,폴리와 함께,20040402
20040485,프리키 프라이데이,20040402
20040506,허니 ,20040326
20040496,아홉살 인생,20040326
20040519,히달고,20040319
20040518,씬,20040319
20040513,내 생애 최고의 데이트,20040319
20040509,모나리자 스마일,20040319
20040495,아웃 오브 타임,20040312
20040465,러브 미 이프 유 대어,20040305
20040517,베로니카 게린,20040227
20040504,리지 맥과이어,20040227
20040494,실종,20040227
20040493,붙어야 산다,20040227
20030431,스페니쉬 아파트먼트,20040101
20040500,아나토미 2,20040213
20040460,열두명의 웬수들 ,20040213
20040541,엄마는 여자를 좋아해,20040430
20040658,썸,20041022
20040445,곰이 되고 싶어요,20040130
20030437,런어웨이,20040130
20040451,머나먼 사랑,20040213
20030206,베이직,20040206
20030436,브라더 베어,20040116
20040467,사랑할 때 버려야 할 아까운 것들,20040213
20040473,엘시드 - 전설의 영웅,20040213
20040694,완벽한 그녀에게 딱 한가지 없는 것,20041105
20040578,콜드 크릭,20040521
20040631,터미널,20040827
20050244,마태복음,20050901
20050076,혈의 누,20050504
20050270,과거가 없는 남자,20051014
20050162,카페 뤼미에르,20051020
20050017,달콤한 인생,20050401
20050232,내 생애 가장 아름다운 일주일,20051007
20050123,에로스,20050630
20050045,"안녕, 형아",20050527
20050292,광식이 동생 광태,20051123
20040774,몽정기2,20050114
20050007,그때 그 사람들,20050203
20050118,릴리 슈슈의 모든 것,20050623
20050310,해리 포터와 불의 잔,20051201
20040798,클로저,20050203
20050042,"지금, 만나러 갑니다",20050325
20040784,시티 오브 갓,20051104
20050112,배트맨 비긴즈,20050624
